交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     
"20210203001080012204340015134165	","                    	",2021/2/3 9:24,                    ,2021/2/3 9:24,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-鹏华丰禄债券-买入      ,100,        ,付款成功，份额确认中,0,0,                    ,已支出      
"20210203332855618341 	","                    	",2021/2/3 2:53,                    ,2021/2/3 2:53,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.02.02-收益发放 ,0.63,        ,交易成功    ,0,0,                    ,已收入      
"20210202001080012204340014241359	","                    	",2021/2/2 14:08,                    ,2021/2/2 14:08,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-华安中证全指证券公司指数-买入,500,        ,付款成功，份额确认中,0,0,                    ,已支出      
"20210202001080012204340014106637	","                    	",2021/2/2 9:19,                    ,2021/2/2 9:19,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-鹏华丰禄债券-买入      ,100,        ,交易成功    ,0,0,                    ,已支出      
"20210202324074202341 	","                    	",2021/2/2 2:52,                    ,2021/2/2 2:52,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.02.01-收益发放 ,0.69,        ,交易成功    ,0,0,                    ,已收入      
"20210201001080012204340013576858	","                    	",2021/2/1 9:40,                    ,2021/2/1 9:40,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-鹏华丰禄债券-买入      ,100,        ,交易成功    ,0,0,                    ,已支出      
"20210201319074964341 	","                    	",2021/2/1 2:37,                    ,2021/2/1 2:37,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.31-收益发放 ,1.07,        ,交易成功    ,0,0,                    ,已收入      
"20210131312814712341 	","                    	",2021/1/31 2:42,                    ,2021/1/31 2:42,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.30-收益发放 ,1.07,        ,交易成功    ,0,0,                    ,已收入      
"20210130306721830341 	","                    	",2021/1/30 3:25,                    ,2021/1/30 3:25,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.29-收益发放 ,1.15,        ,交易成功    ,0,0,                    ,已收入      
"20210129001080012204340012328726	","                    	",2021/1/29 14:34,                    ,2021/1/29 14:34,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-银河创新成长混合-买入    ,1000,        ,交易成功    ,0,0,                    ,已支出      
"20210129001080012204340012105550	","                    	",2021/1/29 9:28,                    ,2021/1/29 9:28,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-鹏华丰禄债券-买入      ,100,        ,交易成功    ,0,0,                    ,已支出      
"20210129397973089341 	","                    	",2021/1/29 2:47,                    ,2021/1/29 2:47,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.28-收益发放 ,1.24,        ,交易成功    ,0,0,                    ,已收入      
"20210129009130101000340072961588	","20210129009130501000340019296949	",2021/1/29 1:09,2021/1/29 1:09,2021/1/29 1:09,支付宝网站     ,即时到账交易          ,兴证全球基金管理有限公司    ,余额宝-自动转入            ,1.14,        ,交易成功    ,0,0,                    ,资金转移     
"20210128001080012204340011167745	","                    	",2021/1/28 14:46,                    ,2021/1/28 14:46,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-银河创新成长混合-买入    ,2000,        ,交易成功    ,0,0,                    ,已支出      
"20210128001080012204340011513970	","                    	",2021/1/28 9:43,                    ,2021/1/28 9:43,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-鹏华丰禄债券-买入      ,100,        ,交易成功    ,0,0,                    ,已支出      
"20210128390525342341 	","                    	",2021/1/28 2:51,                    ,2021/1/28 2:51,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.27-收益发放 ,1.21,        ,交易成功    ,0,0,                    ,已收入      
"20210127001080012204340010640818	","                    	",2021/1/27 9:25,                    ,2021/1/27 9:25,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-鹏华丰禄债券-买入      ,100,        ,交易成功    ,0,0,                    ,已支出      
"20210127379642635341 	","                    	",2021/1/27 3:04,                    ,2021/1/27 3:04,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.26-收益发放 ,1.45,        ,交易成功    ,0,0,                    ,已收入      
"20210126001080012204340010122754	","                    	",2021/1/26 9:20,                    ,2021/1/26 9:20,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-鹏华丰禄债券-买入      ,100,        ,交易成功    ,0,0,                    ,已支出      
"20210126377809168341 	","                    	",2021/1/26 3:01,                    ,2021/1/26 3:01,支付宝网站     ,即时到账交易          ,兴全基金管理有限公司      ,余额宝-2021.01.25-收益发放 ,1.16,        ,交易成功    ,0,0,                    ,已收入      
"20210125001080012204340009157148	","                    	",2021/1/25 9:37,                    ,2021/1/25 9:37,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-鹏华丰禄债券-买入      ,100,        ,交易成功    ,0,0,                    ,已支出      
